RMS,Kurtosis,Label,Severity,File,RMS_norm,Kurtosis_norm,Health
0.07376396805784112,2.764242790439491,Normal,0,../data/raw/normal/normal_0.mat,0.010161848389848956,0.0,99.39028909660907
0.0663520425949517,2.9306171762700113,Normal,0,../data/raw/normal/normal_1.mat,0.0006037392124865161,0.00861150058683358,99.7054306296458
0.0663520425949517,2.9306171762700113,Normal,0,../data/raw/normal/normal_2.mat,0.0006037392124865161,0.00861150058683358,99.7054306296458
0.06588386735663448,2.95716868031354,Normal,0,../data/raw/normal/normal_3.mat,0.0,0.009985800431793352,99.7004259870462
0.29152604538898663,5.395863773038575,IR007,1,../data/raw/IR007/IR007_0.mat,0.2909787184786819,0.1362121069469237,75.95491368287138
0.292892281456586,5.542254574552555,IR007,1,../data/raw/IR007/IR007_1.mat,0.29274055938784216,0.14378926172860296,75.62188858487137
0.29951011904884844,5.563783472883351,IR007,1,../data/raw/IR007/IR007_2.mat,0.30127464604880533,0.14490359263767927,75.0764134579413
0.31360673151971136,5.291053175312335,IR007,1,../data/raw/IR007/IR007_3.mat,0.31945304809859487,0.13078713411038795,74.40920309077266
0.1978304073151389,21.957383235330077,IR014,2,../data/raw/IR014/IR014_0.mat,0.17015274112146267,0.993432609107999,54.987857259472264
0.1655139018930005,22.084265375689707,IR014,2,../data/raw/IR014/IR014_1.mat,0.1284787269125812,1.0,57.29127638524511
0.16306741854654974,21.68616151457723,IR014,2,../data/raw/IR014/IR014_2.mat,0.12532384427876966,0.9793942341756678,58.09874231800378
0.1807860266862134,18.16396968892365,IR014,2,../data/raw/IR014/IR014_3.mat,0.14817302050399675,0.7970863817851338,62.197027316206174
0.5253734992307705,7.445040529665005,IR021,3,../data/raw/IR021/IR021_0.mat,0.5925386175709024,0.2422770324709169,49.67937197161835
0.441837805593839,7.666743976750435,IR021,3,../data/raw/IR021/IR021_1.mat,0.48481447976269093,0.25375235275624036,55.79856063155133
0.48886367839546424,8.057951988342705,IR021,3,../data/raw/IR021/IR021_2.mat,0.545457079131664,0.27400119096882797,51.552539523035335
0.4487337216534449,8.345121649106382,IR021,3,../data/raw/IR021/IR021_3.mat,0.49370716478841775,0.2888650276696668,54.21161928260494
0.8383957642037003,3.3967480328144926,IR028,4,../data/raw/IR028/IR028_0.mat,0.9961990427244758,0.03273832831116279,29.245907587196562
0.8375601536984467,3.1956437800741715,IR028,4,../data/raw/IR028/IR028_1.mat,0.9951214743545624,0.022329217666858817,29.622835008720493
0.8413432521943729,3.286265809922514,IR028,4,../data/raw/IR028/IR028_2.mat,1.0,0.027019793438624613,29.18940619684126
0.8231125835115014,3.3169081779735285,IR028,4,../data/raw/IR028/IR028_3.mat,0.9764904919079854,0.028605835479507537,30.552395421135657
